,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
167,2024,SE,FT,Data Architect,174000,USD,174000,US,0,US,M
168,2024,SE,FT,Research Scientist,112000,USD,112000,US,0,US,M
169,2024,MI,FT,Machine Learning Researcher,210000,USD,210000,US,0,US,M
170,2023,MI,FT,BI Developer,100000,USD,100000,US,0,US,M
171,2023,MI,FT,Decision Scientist,142200,USD,142200,US,0,US,M
172,2023,SE,FT,Data Scientist,90700,USD,90700,US,0,US,M
173,2023,SE,FT,Data Engineer,156000,USD,156000,US,100,US,M
174,2022,SE,FT,Machine Learning Engineer,164996,USD,164996,US,0,US,M
175,2024,SE,FT,Data Scientist,154360,USD,154360,US,0,US,M
176,2023,EX,FT,Analytics Engineer,221000,USD,221000,US,100,US,M
177,2023,SE,FT,Business Intelligence Engineer,104300,USD,104300,US,0,US,L
178,2023,EX,FT,Data Architect,180000,USD,180000,US,0,US,M
179,2023,SE,FT,Data Engineer,130000,USD,130000,US,0,US,M
181,2023,SE,FT,Data Science Manager,299500,USD,299500,US,0,US,M
182,2024,MI,FT,Data Operations Specialist,88000,USD,88000,US,0,US,M
183,2023,SE,FT,Data Scientist,155000,USD,155000,US,0,US,M
185,2024,MI,FT,Data Engineer,203500,USD,203500,US,100,US,M
186,2023,MI,FT,Analytics Engineer,75000,USD,75000,US,0,US,M
187,2023,SE,FT,Data Engineer,95325,USD,95325,US,0,US,M
188,2023,MI,FT,Data Strategist,65000,USD,65000,US,0,US,M
189,2023,MI,FT,Data Engineer,40000,EUR,43187,PL,100,PL,L
190,2023,EN,FT,Data Integration Specialist,100000,USD,100000,US,100,US,M
192,2024,EN,FT,Machine Learning Engineer,187500,USD,187500,US,0,US,M
193,2024,SE,FT,Data Manager,125500,USD,125500,US,0,US,M
194,2024,SE,FT,Data Architect,363000,USD,363000,US,0,US,M
195,2024,EN,FT,Data Analyst,51500,USD,51500,US,0,US,M
196,2022,SE,FT,Applied Scientist,205000,USD,205000,US,100,US,M
197,2023,SE,FT,Analytics Engineer,190000,USD,190000,US,0,US,M
198,2024,SE,FT,Analytics Engineer,287500,USD,287500,US,0,US,M
199,2023,SE,FT,Data Analyst,175000,USD,175000,US,100,US,M
200,2022,EN,PT,Data Analyst,24000,EUR,25216,ES,100,US,L
201,2022,SE,FT,Data Engineer,146000,USD,146000,US,0,US,M
202,2023,MI,FT,Data Engineer,109000,USD,109000,US,100,US,M
203,2023,SE,FT,Data Scientist,228045,USD,228045,US,100,US,M
204,2023,SE,FT,Machine Learning Engineer,128250,USD,128250,US,0,US,M
205,2023,SE,FT,Machine Learning Engineer,142200,USD,142200,US,0,US,M
206,2024,MI,FT,Data Product Manager,171000,USD,171000,US,100,US,M
207,2023,MI,FT,Data Engineer,167500,USD,167500,US,0,US,M
208,2023,SE,FT,Data Manager,140000,USD,140000,US,0,US,M
209,2023,SE,FT,Data Analyst,150000,USD,150000,US,100,US,M
210,2023,SE,FT,Data Scientist,140400,USD,140400,US,100,US,M
211,2023,SE,FT,Data Scientist,138900,USD,138900,US,0,US,M
212,2024,MI,FT,Research Engineer,295000,USD,295000,US,0,US,M
213,2023,EX,FT,Data Engineer,265000,USD,265000,US,0,US,M
214,2023,SE,FT,Data Scientist,151300,USD,151300,US,100,US,M
215,2023,SE,FT,Data Analyst,87500,USD,87500,US,0,US,M
216,2024,EN,FT,Data Analyst,40000,GBP,50000,GB,100,GB,M
217,2023,MI,FT,Data Engineer,120000,USD,120000,US,100,US,M
218,2023,SE,FT,Data Analyst,227000,USD,227000,US,0,US,M
219,2024,SE,FT,Data Architect,86000,USD,86000,US,0,US,M
221,2023,SE,FT,Data Engineer,141000,USD,141000,US,0,US,M
222,2022,SE,FT,Data Engineer,185900,USD,185900,US,0,US,M
223,2023,MI,FT,Data Engineer,58400,USD,58400,US,0,US,M
224,2023,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M
225,2024,MI,FT,Analytics Engineer,115000,USD,115000,US,0,US,M
226,2023,EX,FT,Head of Data,200000,GBP,246080,GB,0,GB,M
227,2021,SE,FT,Data Engineer,200000,USD,200000,US,100,US,L
228,2023,EN,FT,Data Analyst,71615,USD,71615,US,0,US,M
229,2023,SE,FT,Applied Scientist,309400,USD,309400,US,0,US,L
230,2023,SE,FT,Business Intelligence Engineer,115000,USD,115000,US,100,US,M
231,2024,MI,FT,Data Science,130000,USD,130000,US,0,US,M
232,2024,SE,FT,Machine Learning Engineer,283780,USD,283780,US,0,US,M
233,2023,SE,FT,Data Scientist,112500,USD,112500,US,100,US,M
234,2022,EX,FT,Data Engineer,116100,USD,116100,US,100,US,M
235,2024,SE,FT,Data Scientist,115500,USD,115500,US,100,US,M
236,2022,SE,FT,Data Scientist,249500,USD,249500,US,0,US,M
237,2023,MI,FT,Data Scientist,45000,GBP,55368,GB,0,GB,M
238,2024,MI,FT,Data Engineer,90800,USD,90800,US,0,US,M
239,2024,EN,FT,Data Analyst,138000,USD,138000,US,0,US,M
240,2023,SE,FT,Data Scientist,200000,USD,200000,US,0,US,M
242,2023,SE,FT,Machine Learning Engineer,204500,USD,204500,US,0,US,M
243,2023,SE,FT,Data Scientist,212000,USD,212000,US,0,US,M
244,2023,SE,FT,Machine Learning Researcher,73100,USD,73100,US,0,US,M
245,2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L
246,2023,SE,FT,Machine Learning Engineer,168700,USD,168700,CA,0,CA,M
247,2023,EN,FT,Data Analyst,30000,USD,30000,AR,100,US,S
248,2023,MI,FT,Data Analyst,70000,USD,70000,US,0,US,M
249,2023,SE,FT,Business Intelligence Engineer,150000,USD,150000,US,0,US,M
250,2022,SE,FT,Data Engineer,197430,USD,197430,US,100,US,M
251,2022,SE,FT,Data Engineer,210000,USD,210000,US,100,US,M
252,2023,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M
253,2023,SE,FT,Data Scientist,173000,USD,173000,US,100,US,M
254,2022,EN,FT,Data Engineer,120000,USD,120000,US,100,US,M
255,2023,SE,FT,Data Manager,130000,USD,130000,US,0,US,M
256,2024,MI,FT,Applied Scientist,222200,USD,222200,US,0,US,L
257,2023,SE,FT,Data Scientist,300240,USD,300240,US,0,US,M
258,2024,EN,FT,Data Analyst,74400,USD,74400,US,100,US,M
259,2022,SE,FT,Data Engineer,120000,USD,120000,US,0,US,M
260,2022,MI,FT,Machine Learning Engineer,129300,USD,129300,US,0,US,M
261,2024,EN,FT,Machine Learning Engineer,105300,USD,105300,CA,100,CA,M
262,2022,SE,FT,Data Engineer,122600,USD,122600,US,0,US,M
263,2023,EX,FT,Data Scientist,145000,USD,145000,US,0,US,M
264,2021,SE,FT,Lead Data Analyst,170000,USD,170000,US,100,US,L
265,2024,MI,FT,Data Operations Associate,50000,EUR,55555,DE,0,DE,M
266,2023,SE,FT,Data Scientist,247600,USD,247600,US,0,US,L
267,2024,SE,FT,Data Engineer,78900,USD,78900,US,0,US,M
268,2023,MI,FT,Data Engineer,133000,USD,133000,US,0,US,M
269,2023,SE,FT,Data Scientist,176000,USD,176000,US,100,US,M
270,2023,EN,FT,Data Engineer,130916,USD,130916,US,0,US,M
271,2023,SE,FT,Machine Learning Engineer,147000,USD,147000,US,0,US,M
272,2023,MI,FT,Data Engineer,90000,USD,90000,US,100,US,M
273,2024,MI,FT,Machine Learning Engineer,99100,USD,99100,US,0,US,M
274,2023,SE,FT,Analytics Engineer,85500,USD,85500,US,0,US,M
275,2024,MI,FT,Machine Learning Engineer,130000,USD,130000,US,0,US,M
276,2023,SE,FT,Business Intelligence Analyst,193600,USD,193600,US,0,US,M
277,2023,EN,FT,Data Scientist,53000,EUR,57223,NL,50,NL,L
278,2023,MI,FT,Data Engineer,95000,GBP,116888,GB,100,GB,L
279,2023,SE,FT,Analytics Engineer,205000,USD,205000,US,0,US,M
280,2023,SE,FT,Data Engineer,106800,USD,106800,US,100,US,M
281,2023,MI,FT,Data Engineer,90000,USD,90000,US,0,US,M
282,2024,MI,FT,Data Scientist,231250,USD,231250,US,0,US,M
283,2023,SE,FT,Data Engineer,200000,USD,200000,US,0,US,M
284,2023,SE,FT,Machine Learning Engineer,233000,USD,233000,US,0,US,M
285,2022,EN,FT,Machine Learning Engineer,108000,USD,108000,US,0,US,S
286,2022,SE,FT,Machine Learning Software Engineer,168000,USD,168000,CA,100,CA,M
287,2023,MI,FT,Data Engineer,181500,USD,181500,US,0,US,M
288,2024,MI,FT,Data Analytics Manager,124230,USD,124230,US,0,US,M
289,2023,SE,FT,Applied Scientist,222200,USD,222200,US,0,US,L
290,2022,SE,FT,Data Engineer,225000,USD,225000,US,0,US,M
291,2023,SE,FT,Data Scientist,250000,USD,250000,US,0,US,M
292,2023,SE,FT,Data Analyst,135000,USD,135000,US,100,US,M
293,2024,SE,FT,Machine Learning Engineer,230000,USD,230000,US,100,US,M
294,2022,SE,FT,Data Engineer,35000,EUR,36773,ES,0,ES,M
295,2024,MI,FT,Data Engineer,73100,USD,73100,US,0,US,M
296,2023,SE,FT,Data Engineer,130000,USD,130000,US,100,US,M
297,2022,SE,FT,Data Engineer,63000,USD,63000,US,0,US,M
298,2024,SE,FT,Data Analyst,112715,USD,112715,US,0,US,M
299,2024,SE,FT,Data Scientist,215000,USD,215000,US,0,US,M
301,2023,SE,FT,Data Engineer,151000,USD,151000,CA,100,CA,M
302,2024,SE,FT,Data Engineer,187000,USD,187000,US,0,US,M
303,2023,MI,FT,Research Scientist,220000,USD,220000,US,0,US,M
304,2024,MI,FT,Data Specialist,73000,USD,73000,US,0,US,M
305,2024,EN,FT,Data Analyst,96800,USD,96800,US,0,US,M
306,2023,MI,FT,Data Scientist,93918,USD,93918,US,100,US,M
307,2024,EN,FT,Data Analyst,106875,USD,106875,US,0,US,M
308,2023,SE,FT,Machine Learning Infrastructure Engineer,152000,USD,152000,US,100,US,M
309,2023,SE,FT,Data Operations Analyst,144000,USD,144000,GB,0,GB,M
310,2022,SE,FT,Data Scientist,177500,USD,177500,US,100,US,M
311,2024,SE,FT,Data Engineer,161500,USD,161500,US,0,US,M
312,2024,MI,FT,Data Scientist,212000,USD,212000,EG,0,EG,M
314,2024,SE,FT,Data Architect,160000,USD,160000,US,0,US,M
316,2024,SE,FT,Data Analyst,193000,USD,193000,US,100,US,M
317,2023,SE,FT,Business Intelligence Engineer,202800,USD,202800,US,0,US,L
318,2023,SE,FT,Machine Learning Engineer,250500,USD,250500,US,0,US,M
319,2023,SE,FT,Machine Learning Engineer,163200,USD,163200,US,0,US,M
320,2023,SE,FT,Data Scientist,212800,USD,212800,US,0,US,L
321,2023,MI,FT,Data Analytics Manager,242100,USD,242100,US,0,US,M
322,2024,MI,FT,Data Scientist,110000,USD,110000,US,100,US,M
323,2023,MI,FT,Data Scientist,90000,USD,90000,US,100,US,M
324,2023,SE,FT,Data Scientist,170186,USD,170186,US,0,US,M
325,2024,MI,FT,Data Engineer,102000,USD,102000,US,0,US,M
326,2023,SE,FT,Data Analyst,153300,USD,153300,US,100,US,M
327,2022,SE,FT,Data Analyst,150000,USD,150000,US,100,US,M
328,2024,EN,FT,Business Intelligence Analyst,92000,USD,92000,AU,0,AU,M
329,2023,SE,FT,Data Engineer,128000,USD,128000,US,0,US,M
330,2023,MI,FT,Machine Learning Engineer,50000,USD,50000,US,100,US,M
331,2023,MI,FT,BI Developer,81500,USD,81500,US,0,US,M
332,2022,SE,FT,Data Engineer,216000,USD,216000,US,100,US,M
333,2024,EN,FT,Research Engineer,193500,USD,193500,US,0,US,M
334,2023,MI,FT,Machine Learning Engineer,120000,USD,120000,US,0,US,S
335,2023,EN,PT,Data Analyst,78000,PLN,18160,PL,100,IN,L
336,2024,SE,FT,Data Science,234700,USD,234700,US,0,US,M
337,2023,MI,FT,Research Scientist,118800,USD,118800,US,100,US,M
338,2022,SE,FT,Data Engineer,181940,USD,181940,US,0,US,M
339,2023,SE,FT,Machine Learning Engineer,125000,USD,125000,US,0,US,M
340,2023,EN,FT,Data Engineer,58000,USD,58000,US,100,US,M
341,2024,MI,FT,Data Scientist,140400,USD,140400,US,100,US,M
342,2024,SE,FT,Data Architect,234000,USD,234000,US,0,US,M
343,2022,SE,FT,Data Engineer,180000,USD,180000,US,100,US,M
344,2023,SE,FT,Data Scientist,118900,USD,118900,US,0,US,M
345,2023,SE,FT,Data Scientist,190000,USD,190000,US,0,US,M
346,2022,SE,FT,Data Engineer,153600,USD,153600,US,0,US,M
347,2023,SE,FT,Data Engineer,139400,USD,139400,US,0,US,M
348,2023,SE,FT,Data Scientist,218213,USD,218213,US,100,US,M
349,2023,SE,FT,Data Analyst,80000,USD,80000,US,100,US,M
350,2023,MI,FT,Data Analytics Lead,100000,GBP,123040,GB,0,GB,M
352,2023,SE,FT,Machine Learning Engineer,260000,USD,260000,US,100,US,M
353,2024,SE,FT,Data Scientist,156000,USD,156000,US,0,US,M
355,2023,SE,FT,Business Intelligence Developer,102000,USD,102000,US,100,US,M
356,2023,SE,FT,ML Engineer,206000,USD,206000,US,0,US,M
357,2024,SE,FT,Data Analyst,126480,USD,126480,US,0,US,M
358,2023,SE,FT,Data Architect,186000,USD,186000,US,0,US,M
359,2023,SE,FT,Data Analyst,158494,USD,158494,US,100,US,M
360,2024,SE,FT,Machine Learning Engineer,255800,USD,255800,US,0,US,M
362,2022,SE,FT,Machine Learning Software Engineer,227200,USD,227200,CA,100,CA,M
363,2023,SE,FT,Data Engineer,215000,USD,215000,US,0,US,M
364,2023,MI,FT,Machine Learning Engineer,93300,USD,93300,US,0,US,M
365,2024,MI,FT,Data Scientist,152000,USD,152000,US,0,US,M
366,2023,SE,FT,Data Science,138000,USD,138000,US,0,US,M
367,2023,SE,FT,Data Scientist,130000,USD,130000,US,0,US,M
368,2023,MI,FT,Data Engineer,250000,USD,250000,US,0,US,M
369,2024,EN,FT,Data Analyst,179000,USD,179000,US,0,US,M
370,2023,SE,FT,Data Scientist,162000,USD,162000,US,100,US,M
371,2024,SE,FT,Data Scientist,165000,USD,165000,US,0,US,M
372,2023,SE,FT,Analytics Engineer,143860,USD,143860,US,0,US,M
373,2021,EN,PT,Computer Vision Engineer,180000,DKK,28609,DK,50,DK,S
374,2023,SE,FT,Machine Learning Engineer,255800,USD,255800,US,0,US,M
375,2023,EN,FT,Research Analyst,75753,USD,75753,US,0,US,M
376,2024,SE,FT,Data Analyst,135000,USD,135000,US,0,US,M
377,2024,SE,FT,Data Analyst,42245,GBP,52806,GB,0,GB,M
378,2023,SE,FT,Data Analyst,170550,USD,170550,US,100,US,M
379,2024,MI,FT,Business Intelligence Engineer,165600,USD,165600,US,0,US,L
380,2023,SE,FT,Data Quality Analyst,80000,USD,80000,US,0,US,M
382,2023,SE,FT,Data Scientist,184800,USD,184800,US,0,US,M
383,2023,SE,FT,Data Architect,185000,USD,185000,US,0,US,M
384,2023,MI,FT,Data Scientist,55000,USD,55000,US,0,US,M
385,2023,MI,FT,Data Scientist,205000,USD,205000,US,100,US,M
386,2023,SE,FT,Machine Learning Engineer,205600,USD,205600,US,100,US,M
387,2024,SE,FT,Data Scientist,160000,USD,160000,US,0,US,M
389,2024,SE,FT,Data Integration Developer,121056,USD,121056,US,0,US,M
390,2023,SE,FT,Data Scientist,192000,USD,192000,US,100,US,M
391,2023,SE,FT,Data Analyst,30000,GBP,36912,GB,100,GB,S
393,2023,SE,FT,Data Engineer,254000,USD,254000,US,0,US,M
394,2023,SE,FT,Business Intelligence Engineer,138900,USD,138900,US,100,US,M
395,2023,MI,FT,Data Scientist,140000,USD,140000,US,0,US,M
396,2023,MI,FT,Data Analyst,161000,USD,161000,US,100,US,M
397,2023,SE,FT,Data Scientist,120000,USD,120000,US,100,US,M
399,2024,MI,FT,Data Engineer,100000,USD,100000,US,0,US,M
